father son
168	168
170	168
170	172
173	165
170	173
175	182
178	171
165	165
188	172
158	166.1
172	178
173	167
170	176
170	172
174	172
170	170
172	169
167	169
165	173
169	176
177	180
174	176
170	174.1
167	169.5
170	164
170	170
170	170
170	170
168	165
165	168
169	165
183	170.5
170	169.3
170	166
183	177
176	180
173	171
180	172
165	174
178	182
165	183
170	173.5
183	173
183	176
172	178.8
173	174
183	187
171	165
167	168.3
175	175
172	177
175	173.8
170	166
178	172
178	175
173	176
162	162
167	171.1
175	177
170	170
172	170
163	171.5
165	170
180	175
167	171
171	162
170	174
176	173
165	168
163	167
173	175
170	171
170	165
170	175
180	171.2
176	187
161	165
180	172
176	174
171	179
169	175
166	174.3
170	173
165	181
173	171
162	175
166	166.7
179	180
190	167.7
175	170
160	172
169	175
180	176
178	167
169	175
181	179
170	175
180	180
170	177
176	183
168	174
178	178
173	184
173	172
173	181
170	164
170	171
178	180
158	178
165	170
160	163.5
164	172
168	172
165	169
